رقم القيد	تاريخ القيد	نوع القيد	اسم العميل	محافظة الوثيقة (عربي)	نوع الوثيقة	رقم الوثيقة	تاريخ الوثيقة	حالة الوثيقة	ملاحظة عامة	ملاحظة خاصة	معرف الفرع	الفرع (إنجليزي)	العملية المستودعية en	العملية المرجعية en	نوع فئة العملية	كود المادة	الاسم التجاري	نوع المادة	فئة المادة	العلامة التجارية	باركود الوحدة	باركود الوحدة الافتراضية	معرف الوحدة	الوحدة	كود الوحدة	معرف الوحدة الأساسية	الوحدة الأساسية	كود الوحدة الأساسية	معرف المستودع	المستودع	كود المستودع	معرف منطقة التخزين	منطقة التخزين	كود منطقة التخزين	معرف مركز التكلفة	مركز التكلفة	الكمية المدخلة	الكمية الأساسية المدخلة	الكمية المجانية	الكمية الأساسية المجانية	الكمية الإجمالية	الكمية الأساسية الإجمالية	معامل التحويل (عند الإنشاء)	نوع التحويل (عند الإنشاء)	معامل التحويل الحالي	نوع التحويل الحالي	الأساسية المعاد حسابها (بالمعامل الحالي)	مطابقة الأساسية للمعدل الحالي	سعر الوحدة	المبلغ الإجمالي	الكلفة قبل الادخال	الكلفة بعد الادخال	مصدر الكلفة	قيمة كلفة الكمية بعد الادخال	قيمة كلفة الكمية المجانية بعد الادخال	رقم الوجبة	تاريخ الصلاحية	المضاعف	الوصف	لون الصف	لون النص	النوع
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000111	SEBA MED CLEANSING BAR FOR ACNE 100G	storable	Cosmetics	Seba Med Germany	4103040143112	4103040143112	16	One Soap Bar	SOAP_BAR	16	One Soap Bar	SOAP_BAR	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	5499	-5499	0	5499	inventory_movements	5499	0	i346	2028-03-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000111	SEBA MED CLEANSING BAR FOR ACNE 100G	storable	Cosmetics	Seba Med Germany	4103040143112	4103040143112	16	One Soap Bar	SOAP_BAR	16	One Soap Bar	SOAP_BAR	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	5499	-5499	0	5499	inventory_movements	5499	0	o54	2028-06-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000113	SEBA MED LIP DEFENSE	storable	مواد عامة	Seba Med Germany	4103040144324	4103040144324	70	one stick	1256458	70	one stick	1256458	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	4100	-8200	0	4100	inventory_movements	8200	0	25075	2028-01-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000119	SEBA MED MULTI PROTECT SUN CREAM 30+ 75ML	storable	Cosmetics	Seba Med Germany	4103040899712	4103040899712	21	One Tube	TUBE	21	One Tube	TUBE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	18000	-18000	0	9000	inventory_movements	9000	0	t345	2027-04-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000123	SEBA MED BABY LIP BALM	storable	مواد عامة	Seba Med Germany	4103040901811	4103040901811	70	one stick	1256458	70	one stick	1256458	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	4100	-4100	0	2050	inventory_movements	2050	0	3125	2026-10-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000124	SEBA MED OLIVE FACE & BODY WASH SENSEITIVE DRY SKIN 200ML	storable	Cosmetics	Seba Med Germany	4103040903327	4103040903327	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	10360	-10360	0	10360	inventory_movements	10360	0	25064	2028-01-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000126	SEBA MED BABY DIAPER RASH CREAM 50ML	storable	Cosmetics	Seba Med Germany	4103040913852	4103040913852	21	One Tube	TUBE	21	One Tube	TUBE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-3	-3	0	0	-3	-3	1	reference	1	reference	3	TRUE	9750	-29250	0	5850	inventory_movements	17550	0	ie4577	2028-07-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000137	SUDOCREM 60G	storable	Drugs - الادوية	Teva	5017007601333	5017007601333	65	One Jar	101	65	One Jar	101	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-13	-13	0	0	-13	-13	1	reference	1	reference	13	TRUE	4800	-62400	0	3284.210526	inventory_movements	42694.73684	0	177714	2028-07-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000141	BEESLINE HONEY MOISTURIZING SOAP 60G	storable	Cosmetics	Beesline Lebanon	5281018010006	5281018010006	16	One Soap Bar	SOAP_BAR	16	One Soap Bar	SOAP_BAR	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-3	-3	0	0	-3	-3	1	reference	1	reference	3	TRUE	3040	-9120	0	1520	inventory_movements	4560	0	25047	2028-01-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000143	KETONAZ SHAMPOO 2% 100ML	storable	Cosmetics	Pharmaline	5281019900412	5281019900412	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-9	-9	0	0	-9	-9	1	reference	1	reference	9	TRUE	3650	-32850	0	2526.923077	inventory_movements	22742.30769	0	25255	2029-01-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000155	SKINAGE COLLAGEN PRESTIGE 10000  500ML	storable	Drugs - الادوية	Yasenka Croatia	3859892980573	3859892980573	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	42480	-42480	0	21240	inventory_movements	21240	0	b	2028-12-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000157	HANSAL MULTIVITAMIN 20EFF	storable	Supplement	hansal Germany	4001728370051		8	One Effervescent Pack	EFFERVESCENT_PACK	8	One Effervescent Pack	EFFERVESCENT_PACK	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-6	-6	0	0	-6	-6	1	reference	1	reference	6	TRUE	1800	-10800	0	981.8181818	inventory_movements	5890.909091	0	26279	2028-04-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000160	OMEGA 3 JUNIOR HANSAL SYRUP 200ML	storable	Drugs - الادوية	hansal Germany	4001728378019	4001728378019	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	13100	-26200	0	8733.333333	inventory_movements	17466.66667	0	b	2027-04-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
