البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
129	3760095250168	ACM Novophane 60cap /sh				3	3	9		9486	8965	12000	85375
130	3760095254500	ACM NOVOPHANE CHRONIC ANTI-HAIR LOSS/SH				52	0	7		28869	30240	35000	202085
131	3760095250182	ACM Novophane DS Shampoo/SH				35	0	15		13580	18750	25000	203701
132	3760095250199	ACM NOVOPHANE K SHAMPOO/SH				41	0	12		14542	20500	25000	174506
133	3760095254586	ACM NOVOPHANE REACTIONAL ANTI-HAIR LOSS/SH				56	0	5		28485	28100	35000	142426
134	6932951801013	Acm open patella knee support /sh				4	0			3160	3160	4000	
135	6932951800726	acm plastic neck care				4	0	4		4890	4890	8000	19560
136	3760095250274	ACM Sebionex cleansing gel 200ml/SH				28	0	5		21207	21700	25000	106035
137	3760095252315	ACM SEBIONEX HYDRA CR40ML/SH				79	0	14		12306	14100	19000	172291
138	3760095251547	ACM SEBIONEX TRIO Cream/SH				42	0	36		16286	22000	27000	586286
139	3760095250281	ACM SEBIONEX.K/SH				42	0	41		14895	20704	25000	610712
140	3760095252926	ACM SEDACALM SOOTHING SHAMPOO/SH				14	0	7		19286	22500	27000	135000
141	3760095250236	ACM sensitelial emollient care200ML/SH				39	0	11	شامبو	16245	21500	26000	178693
142	3760095252933	ACM SENSITELIAL SOOTHING CREAM/SH				12	0	9		17917	17917	26000	161250
143	3760095250243	ACM SENSITELIAL ULTRA CLEANSING GEL/SH				5	0			17727	17727	23000	
144	611851289560	ACM SILICA KNEE SUPPORT				2	0			4210	4210	6000	
145	766008603321	acm support stocking long size/sh				2	0	2		9000	9000	12000	18000
146	3760095251240	ACM ULTRA NOURSHING SHAMPOO/200ML/SH				5	0	2		17236	18000	24000	34473
147	3760095253275	ACM ULTRA SOAP/SH				45	0	28		7380	12350	15000	206635
148	3760095250021	ACM VITIX GEL/SH				14	0	14		40714	47500	57000	570000
149	3760095250212	acm vitix tab					0			30000	30000	38000	
150	611851290108	ACM Wrist Support /sh				1	0			2140	2140	5000	
151	680577715257	acm كيتر عكس				2	0	2		1650	1650	2500	3300
152	8681293078130	Acne Bye Gel Purgene					0					10000	
153	8681293078147	Acne bye Soap Purgene					0					5000	
154	8690088017018	Acne End Soap /sh				6	0			4394	4530	6000	
155	6291100785056	acne max gel 1%/sh				15	0	1		8230	8230	11000	8230
156	6251651002095	ACNE OFF 0.025% CREAM				7	0	3		2457	2640	4000	7371
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
157	8683229602426	acne off foam salicylic acid 0.5%/sh				34	0	19	باكيت	7415	7485	10000	140891
158	8698712455496	ACNE OFF TURKUAZ SOAP /SH			درزن	52	0	9	قطعة	5355	5560	7000	48197
159	9351089001299	acnecure cleanser by skinlab				1	0			16850	16850	20000	
160	6251600000011	Acnelin 0.05% cream					0					6000	
161	6217269016299	ACNEMYCIN sol. kanawti				3	0			2715	2715	4000	
162	6251651001845	acne-off 0.05 cream/sh				7	0			2938	3168	6000	
163	8055510240189	Acnestil Attiva cream/sh				9	0	8		21000	21000	25000	168000
164	8050444858592	Acnestil cleansing gel/sh				10	0	9		19000	19000	25000	171000
165	1001607908	Acnetane 20mg tab					2					9000	
166	8697711721014	acnevit سيرم حب الشباب 30مل				6	0	6		14500	17000	20000	87000
167	8901111032916	acno 10mg 30cap Ajanta /sh			باكيت		3		شريط	3133	3217	4000	
168	8901111032923	acno 20mg cap ajanta /sh			باكيت		3		شريط	4780	4780	6000	
169	10002983	acretin 0.025% cream jamjoom / sh		tretinoin		176	0	6	عصارة	3511	3511	4750	21066
170	6281276015354	ACRETIN 0.05% CREAM				51	0	1		4170	4170	5500	4170
171	10002795100840100000	acretin 0.05% cream jamjoom / sh		tretinoin		145	0	11	عصارة	4178	4170	5500	45953
172		acretin c 0.025/1.2% gel jamjoom				3	0		باكيت	6787	6441	10000	
173		ACRETIN C 30G GEL/JAMJOOM				1	0			6960	6960	10000	
174	9641996011413	Actebid syr					0					3000	
175	8680881091056	acteday 35mg 4tab neutec					0					19000	
176	6225000438415	acti calamine lotion					0					3000	
177	5205152007241	acti sperm				1	0	1		20375	20375	27000	20375
178	6225000438446	acti-d3 oral drop 400 iu / sh				2	0			2195	2195	4000	
179	6212267013790	ACTIFED SYR					0					3500	
180	6221045000440	ACTIFED TAB امتياز مصري					0					3000	
181	5285007350210	Actifedain syr				2	0			2080	2080	3000	
182	8901111002421	actinac 100 mg tab ajanta / sh			شريط	14	2	28	باكيت	1968	1976	2750	55101
183	8901111003305	ACTINAC PLUS TAB AJANTA				0	2	1		1950	1950	3000	1950
184	ACTIVE1000123	active ankle support/sh				4	0	3		4997	5100	6000	14992
185	4009932923087	active D3 drop dopple herz / sh				46	0	1		11044	11044	13000	11044
186	5012251002042	Active dental tape				7	0	4		1674	1674	3000	6696
187	ACTIVE1000121	active finger splint/sh				4	0	1		1662	1653	2000	1662
188	5012251007146	Active flossers 50 sticks				5	0	1		1375	1375	2000	1375
189	080219815	Active Life A-Z multivitamin 30 tab					0					6000	
190	4009932927146	active memory aktiv				2	0		شريط	6000	14000	6000	
191	4009932926149	Active Memory Omega-3 tab Aktiv /SH			باكيت	8	3	23	شريط	5116	5113	6500	117666
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
192	4009932926552	Active Men Boost tab Aktiv					3					7000	
193	4009932927559	ACTIVE MEN TAB AKTIV/sh				2	3	7		5715	5658	8000	40008
194	6932951840197	ACTIVE NECK CARE				2	0	1		4890	4890	8000	4890
195	5012251011358	active oral 0.6mm				1	0			1900	1900	4000	
196	8901967446882	active oral care toothpaste معجون الاسنان للاطفال بنكهة الفواكه				1	0	1		680	680	2000	680
197	ACTIVE1000170	active tablet cutter/sh				2	0			1380	1380	3000	
198	4009932922196	ACTIVE VITAMIN d3 2000 spray doppel herz /sh				2	0			11750	11750	15000	
199	ACTIVE1000105	active حزام بعد الولادة/sh					0			8400	8400	12000	
200	ACTIVE10000002	Active كرة تقوية اعصاب				1	0	1		3240	3240	5000	3240
201	ACTIVE1000114	active مسند كاحل					0		باكيت	4959	4959	7000	
202	4009932924848	active-meno tab akiv / sh			شريط	4	3	13	باكيت	5113	5113	6500	66473
203	4009932924855	Active-Meno tab Aktiv					3			5600	5600	7000	
204	86910279	activex soap				2	0	1		725	725	1000	725
205	3578834606011	activox syr arkopharma					0			6400	6400	6000	
206	5690528261387	actonel 35mg 4tab					0					17000	
207	100171230084	Actos 15mg tab Hikma					0					33000	
208	6251159024612	Actos 15mg tab Hikma /sh				30	0	7		22251	22251	27750	155757
209	6251159024605	Actos 30mg tab Hikma /sh				18	0	2		35720	35720	42000	71440
210	6251159045051	Actosmet 15/850mg Hikma /sh			باكيت	4	4	14	شريط	10175	10175	11000	142450
211	1001607757	ACTRAPID INSULIN 100 iu vial / sh				8	0			16436	16361	20250	
212	8413554403067	ACTUAL ALOVERA CEX /sh				20	0	8	\باكيت	3176	3353	5000	25412
213	8413554340065	Actual delay CEX /sh				40	0	13		2822	3353	5000	36684
214	8413554201069	Actual natural CEX				12	0			3000	3000	5000	
215	8413554666677	ACTUAL SENSITIVE CEX				-5	0	4	باكيت	3000	3000	5000	12000
216	8413554487067	Actual strawberry CEX /sh				18	0	5		3195	3353	5000	15973
217	8413554507062	Actual textured CEX				6	0	2		3186	3310	5000	6372
218	8435080005645	acuaiss 100ml disop /sh				8	0	4		12892	12960	16000	51570
219	8435080008042	Acuaiss 10ml ultra drops				3	0	2		15188	15188	25000	30376
220	8435080005669	Acuaiss 15ml drop disop /sh				28	0	3		15473	14445	16000	46419
221		Acuaiss 20 x 0.35ml eye drop					0					12500	
222	8435080012582	acuaiss 20*35 ml disop / sh				1	0			11788	11770	14000	
223	8435080011837	Acuaiss 6ml drop disop /sh				68	0	1		9642	9630	12000	9642
224	8435080008011	Acuaiss 6ml eye drop					0					15000	
225	8435080004297	Acuaiss Cleaning wipes					0					15000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
226	8435080012599	acuaiss dual gel drop				2	0	1		19260	19260	22000	19260
227	8435080004747	Acuaiss-ULTRA drop disop /sh				70	0	2	قطرات	16132	16050	18000	32264
228	4897000500083	ACULAR EYE DROP ALLERGAN					0					11000	
229	10501600720221200000000000000000000000000000	ACULAR LS EYE DROP ALLERGAN					0					10000	
230	3583313242178	ACUPAN AMP BIOCODEX / sh			باكيت	6	5	32	ابرة	2453	2455	3000	78506
231	5060829020332	acyclovir wise cream 5%				22	0			4915	5000	7000	
232	733739003508	AD1000/400 100SOFT NOW				2	0			15600	15600	20000	
233	8901111952115	adacin gel 15gm ajanta /sh				2	0			4820	4820	6000	
234	6213070063187	adaclean gel UM				3	0			4400	4400	10000	
235	8563361	Adalat CR 30mg 28 tablet Bayer					0			21250	21250	30000	
236	733739038784	ADAM 90 CAP Now					0					85000	
237	6251106804090	adams 5mg pharma international/sh			شريط		3		باكيت	9544	9544	12000	
238	6251106210204	ADAMS Tadalafil 20mg 4 tab الدولية				2	0			28633	28633	7500	
239	2802105302014	adelone drop 1 % cooper /sh				17	0	5		3343	3295	4500	16713
240	4260393340121	adhesive roll plaster zinc oxid 3m*2.5cm				8	0	1		740	748	1500	740
241	3800089800419	Adipamol forte 1000mg caplet بلغاري					0					3000	
242	6291100080014	ADOL 100ML SYR JULPHAR				57	0	5		4301	4141	6000	21503
243	6291100080038	ADOL 125mg SUPP JULPHAR/sh		PARACETAMOL	باكيت	20	2	41	تحاميل	1008	1100	1500	41316
244	6291100080045	ADOL 250mg SUPP JULPHAR/sh		PARACETAMOL		31	2	62	تحاميل	1115	1098	1500	69126
245	6291100080021	ADOL 250MG/5ML SUSP JULPHAR				60	0			4750	4750	6000	
246	6291100084562	ADOL 500mg /sh JULPHAR		PARACETAMOLE	باكيت	12	8	92	شريط	538	539	1000	49473
247	6291100080076	ADOL 60ML SYR اماراتي					0					2500	
248	6291100081394	ADOL DROP JULPHAR/sh		PARACETAMOL		146	0	7	قطرات	1662	1645	2250	11631
249	6291100080557	Adol extra 24 cap julphar				4	2	7		900	900	1500	6300
250	5310090011912	Adolar strong 1000mg tab			شرايط	2	2	5		1785	1785	3000	8925
251	10002795100840100000	Adolin Gel 0.1% 30g /sh				5	0			4853	4830	6500	
252	5310090012438	adolor 650 replek tab				0	2	1		1909	1912	3000	1909
253	3800501091043	adrenaline -vitapure amp					10					2000	
254	96619335695	Advanced Digestive Probiotic trunature					5					15000	
255	8809598455283	advanced snail 92 ALL IN ONE cream 100g /SH				2	0			15500	15500	20000	
256	8681308152381	Advil 200mg capsul /					2					3500	
257	6251613000022	advil cold & sinus tab gsk /sh				18	2	35		8000	8000	6000	280000
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
258		Advil cold sinus					0						
